Extension (mm),Encoder1 Angle (degrees),Encoder 1 Values
0,172.2509464,7.749053614
0.1,172.9814724,7.018527623
0.2,173.7038838,6.296116171
0.3,174.4185339,5.581466062
0.4,175.1257543,4.874245685
0.5,175.8258568,4.174143155
0.6,176.5191353,3.480864655
0.7,177.205867,2.794132957
0.8,177.8863139,2.113686088
0.9,178.5607239,1.439276127
1,179.2293319,0.770668128
1.1,179.8923609,0.107639137
1.2,180.5500227,-0.550022694
1.3,181.2025189,-1.202518916
1.4,181.8500415,-1.850041511
1.5,182.4927736,-2.492773571
1.6,183.1308899,-3.130889903
1.7,183.7645576,-3.764557593
1.8,184.3939365,-4.393936518
1.9,185.0191798,-5.019179823
2,185.6404343,-5.640434349
2.1,186.257841,-6.257841043
2.2,186.8715353,-6.871535319
2.3,187.4816474,-7.481647407
2.4,188.0883027,-8.088302668
2.5,188.6916219,-8.691621888
2.6,189.2917216,-9.291721552
2.7,189.8887141,-9.888714097
2.8,190.4827082,-10.48270815
2.9,191.0738088,-11.07380875
3,191.6621176,-11.66211755
3.1,192.247733,-12.24773302
3.2,192.8307506,-12.83075061
3.3,193.4112629,-13.41126293
3.4,193.9893599,-13.98935992
3.5,194.565129,-14.56512897
3.6,195.1386551,-15.13865511
3.7,195.7100211,-15.71002108
3.8,196.2793075,-16.27930751
3.9,196.846593,-16.84659299
4,197.4119542,-17.41195423
4.1,197.9754661,-17.97546613
4.2,198.5372019,-18.5372019
4.3,199.0972331,-19.09723314
4.4,199.65563,-19.65562996
4.5,200.212461,-20.21246103
4.6,200.7677937,-20.76779367
4.7,201.321694,-21.32169397
4.8,201.8742268,-21.87422679
4.9,202.4254559,-22.42545592
5,202.9754441,-22.97544406
5.1,203.524253,-23.52425298
5.2,204.0719435,-24.0719435
5.3,204.6185756,-24.6185756
5.4,205.1642085,-25.16420846
5.5,205.7089005,-25.70890054
5.6,206.2527096,-26.25270962
5.7,206.7956928,-26.79569284
5.8,207.3379068,-27.33790678
5.9,207.8794075,-27.87940751
6,208.4202506,-28.42025061
6.1,208.9604913,-28.96049126
6.2,209.5001843,-29.50018428
6.3,210.0393841,-30.03938413
6.4,210.578145,-30.57814503
6.5,211.116521,-31.11652096
6.6,211.6545657,-31.65456571
6.7,212.192333,-32.19233296
6.8,212.7298763,-32.72987627
6.9,213.2672492,-33.26724917
7,213.8045052,-33.80450519
7.1,214.3416979,-34.3416979
7.2,214.878881,-34.87888097
7.3,215.4161082,-35.41610821
7.4,215.9534336,-35.9534336
7.5,216.4909114,-36.49091137
7.6,217.028596,-37.02859603
7.7,217.5665424,-37.56654239
7.8,218.1048057,-38.10480568
7.9,218.6434415,-38.64344152
8,219.182506,-39.18250603
8.1,219.7220559,-39.72205586
8.2,220.2621482,-40.26214825
8.3,220.8028411,-40.80284107
8.4,221.3441929,-41.3441929
8.5,221.8862631,-41.88626308
8.6,222.4291118,-42.42911178
8.7,222.9728,-42.97280003
8.8,223.5173898,-43.51738984
8.9,224.0629442,-44.06294423
9,224.6095273,-44.60952731
9.1,225.1572044,-45.15720438
9.2,225.706042,-45.70604195
9.3,226.2561079,-46.25610791
9.4,226.8074715,-46.80747152
9.5,227.3602036,-47.36020358
9.6,227.9143765,-47.9143765
9.7,228.4700644,-48.47006436
9.8,229.0273431,-49.0273431
9.9,229.5862905,-49.58629055
10,230.1469866,-50.1469866
10.1,230.7095133,-50.70951332
10.2,231.2739551,-51.27395509
10.3,231.8403987,-51.84039872
10.4,232.4089336,-52.40893364
10.5,232.9796521,-52.97965205
10.6,233.5526491,-53.55264909
10.7,234.128023,-54.128023
10.8,234.7058754,-54.70587538
10.9,235.2863114,-55.28631135
11,235.8694398,-55.8694398
11.1,236.4553736,-56.45537363
11.2,237.04423,-57.04423001
11.3,237.6361307,-57.63613069
11.4,238.2312023,-58.23120227
11.5,238.8295766,-58.82957657
11.6,239.431391,-59.43139097
11.7,240.0367888,-60.0367888
11.8,240.6459198,-60.64591978
11.9,241.2589405,-61.25894047
12,241.8760148,-61.87601478
12.1,242.4973145,-62.49731455
12.2,243.1230201,-63.12302009
12.3,243.7533209,-63.7533209
12.4,244.3884164,-64.3884164
12.5,245.0285167,-65.02851669
12.6,245.6738435,-65.67384347
12.7,246.324631,-66.32463101
12.8,246.9811272,-66.98112724
12.9,247.643595,-67.64359497
13,248.3123132,-68.31231322
13.1,248.9875787,-68.98757872
13.2,249.6697076,-69.66970763
13.3,250.3590374,-70.35903742
13.4,251.055929,-71.05592899
13.5,251.7607691,-71.76076913
13.6,252.4739733,-72.47397326
13.7,253.1959885,-73.19598854
13.8,253.9272975,-73.92729747
13.9,254.668422,-74.66842204
14,255.4199284,-75.41992844
14.1,256.1824326,-76.18243259
14.2,256.9566066,-76.95660658
14.3,257.7431862,-77.7431862
14.4,258.5429798,-78.54297978
14.5,259.3568787,-79.35687873
14.6,260.1858701,-80.18587014
14.7,261.0310518,-81.03105181
14.8,261.8936506,-81.89365061
14.9,262.7750449,-82.77504486
15,263.6767919,-83.67679194
15.1,264.6006627,-84.60066271
15.2,265.548685,-85.54868498
15.3,266.523199,-86.523199
15.4,267.5269293,-87.52692928
15.5,268.5630793,-88.56307928
15.6,269.6354581,-89.63545813
15.7,270.7486541,-90.74865414
15.8,271.9082777,-91.90827773
15.9,273.1213114,-93.12131143
